#{"t_start": 1745738187.6294086, "env_id": "None"}
r,l,t
-353308.0,618,17.474307
-419407.0,626,33.729238
-409655.0,624,49.978668
-383052.0,633,71.147015
-408446.0,631,92.891394
-370205.0,611,109.625823
-376167.0,607,167.89521
-321076.0,620,184.111677
-379898.0,626,199.991034
-345823.0,624,220.194124
-326322.0,646,236.550127
-396557.0,609,252.466469
-376810.0,626,309.87139
-344413.0,631,331.130471
-355590.0,624,347.469116
-377110.0,668,364.426167
-340189.0,650,386.150222
-349375.0,615,445.567813
-377111.0,648,462.001415
-313479.0,624,482.348801
-371560.0,639,498.763028
-364350.0,612,515.162935
-363120.0,627,535.521622
-353884.0,631,593.589975
-369197.0,614,614.240848
-410147.0,625,634.133804
-409362.0,629,657.454943
-347741.0,641,676.169502
-400539.0,637,694.959013
-379034.0,658,772.612127
-353428.0,608,791.046046
-371706.0,613,810.91911
-354272.0,637,836.865218
-436376.0,628,856.533481
-343220.0,640,876.402693
-323440.0,632,942.823348
-349555.0,630,960.014844
-345718.0,609,976.666645
-352056.0,637,994.724591
-330404.0,632,1017.21755
-364247.0,651,1034.995945
-351751.0,677,1101.565712
-348151.0,634,1124.568738
-346184.0,621,1142.599682
-350474.0,616,1160.525178
-367391.0,643,1185.0276
-362758.0,624,1202.717301
-376604.0,607,1266.122777
-346930.0,630,1288.902508
-346829.0,684,1307.2089
-370237.0,688,1326.333889
-368839.0,610,1347.942659
-406430.0,613,1366.397642
-391377.0,659,1433.801701
-396614.0,619,1451.53693
-373591.0,607,1474.917649
-396075.0,660,1492.584134
-331086.0,613,1509.356951
-350121.0,627,1531.100183
-409986.0,646,1597.214676
-355885.0,646,1614.882814
-381691.0,656,1640.764335
-383058.0,609,1659.778403
-353054.0,649,1678.938761
-368127.0,642,1703.486563
-388913.0,637,1835.999891
-358567.0,620,1854.876519
-392376.0,628,1874.387025
-346857.0,621,1898.933388
-318095.0,610,1948.299172
-378760.0,644,1967.158731
-340742.0,597,2040.728353
-350649.0,631,2059.945186
-379321.0,610,2078.137046
-341543.0,620,2101.830276
-353875.0,629,2120.879084
-366329.0,638,2139.903489
-419743.0,629,2214.294033
-400351.0,652,2233.558879
-339912.0,626,2252.471791
-390712.0,619,2271.234288
-387147.0,617,2295.497726
-381195.0,644,2315.117971
-358669.0,606,2443.475829
-366132.0,626,2467.176538
-356606.0,618,2486.8487
-326344.0,628,2506.30848
-362034.0,632,2532.292878
-373856.0,618,2552.057021
-361388.0,617,2622.579104
-367035.0,625,2641.468678
-388426.0,627,2665.905414
-346325.0,647,2685.522184
-345965.0,614,2703.323919
-408796.0,657,2728.279737
-343772.0,638,2831.034002
-338153.0,638,2849.885755
-360352.0,624,2874.430107
-356017.0,619,2894.408168
-371785.0,675,2916.06853
-377417.0,610,2941.372236
-404067.0,644,3009.729101
-362729.0,616,3028.957186
-432599.0,645,3054.177082
-329693.0,636,3072.683147
-326639.0,613,3091.025988
-323430.0,662,3110.588313
-398413.0,629,3181.815668
-401180.0,622,3203.499855
-371184.0,606,3223.040893
-386027.0,612,3247.352803
-380393.0,632,3266.436525
-365736.0,622,3285.666173
-330427.0,656,3356.952575
-342556.0,635,3375.440599
-326340.0,628,3394.79867
-362840.0,617,3418.737113
-365904.0,607,3437.002388
-360218.0,641,3456.043863
-324882.0,621,3522.153482
