#{"t_start": 1744969091.84429, "env_id": "None"}
r,l,t
-51251.0,718,7.899913
-46980.0,718,12.251119
-48058.0,718,19.932326
-61250.0,718,36.468443
-53672.0,718,40.188808
-54955.0,718,47.349829
-50190.0,718,64.052479
-47864.0,718,67.749125
-61126.0,718,74.961964
-51737.0,718,78.682715
-55219.0,718,95.293607
-49326.0,718,102.382496
-55554.0,718,107.110061
-54159.0,718,126.156149
-53193.0,718,135.781903
-51622.0,718,140.396896
-48739.0,718,144.641577
-46889.0,718,166.876766
-44784.0,718,170.989439
-46204.0,718,178.85272
-52516.0,718,197.505989
-50460.0,718,201.92009
-49328.0,718,210.699507
-52134.0,718,215.183189
-57919.0,718,234.573621
-54536.0,718,243.271256
-48748.0,718,247.936949
-56084.0,718,266.192108
-49839.0,718,274.226396
-47563.0,718,278.138407
-46672.0,718,282.428828
-49600.0,718,306.408187
-41186.0,718,310.329446
-55438.0,718,314.324974
-48511.0,718,335.521055
-49573.0,718,339.353894
-43385.0,718,343.151051
