#{"t_start": 1746242096.7122889, "env_id": "None"}
r,l,t
-392145.0,630,26.110266
-362845.0,629,48.198371
-372161.0,623,71.181894
-365255.0,653,95.404479
-383723.0,646,119.232082
-390722.0,623,186.294775
-379566.0,637,209.861483
-349917.0,614,234.975561
-394902.0,621,259.163118
-421051.0,635,283.067863
-401474.0,623,306.714097
-374130.0,618,371.949988
-340647.0,631,395.271947
-435199.0,625,419.216412
-341469.0,615,442.612744
-373994.0,623,465.996608
-371007.0,617,489.732083
-392991.0,636,559.772133
-374968.0,616,582.489954
-390477.0,643,606.620488
-351000.0,634,632.969765
-314154.0,634,655.73654
-373157.0,627,678.089505
-345799.0,609,746.198905
-401085.0,628,770.086585
-378317.0,602,793.787568
-381050.0,633,818.23214
-369491.0,621,842.276837
-363157.0,635,866.015358
-363699.0,633,933.494124
-362380.0,614,957.289978
-339755.0,617,981.465423
-394255.0,615,1005.47383
-357626.0,642,1030.679392
-346244.0,631,1054.624977
-302458.0,632,1124.173367
-365424.0,622,1148.468617
-357790.0,629,1172.710052
-403420.0,637,1197.383152
-352096.0,660,1224.711785
-380926.0,641,1249.868262
-356820.0,619,1318.829941
-355370.0,641,1344.097629
-341200.0,633,1366.236202
-346079.0,647,1393.75003
-374896.0,627,1416.071016
-350204.0,613,1440.426826
-411529.0,615,1511.612198
-336715.0,624,1536.51211
-324694.0,627,1561.379286
-421062.0,630,1586.42159
-349547.0,650,1613.005518
-373721.0,636,1638.091406
-317561.0,629,1710.598862
-386435.0,636,1735.826876
-343721.0,652,1760.790492
-370686.0,633,1785.963771
-407621.0,660,1811.259169
-420789.0,617,1836.161054
-361021.0,639,1908.695381
-372578.0,624,1932.917151
-378490.0,600,1955.664761
-360215.0,623,1980.240064
-304722.0,625,2005.306198
-394313.0,626,2030.179513
-349205.0,633,2103.432871
-406873.0,625,2128.9118
-391305.0,649,2153.677712
-375653.0,620,2179.109197
-373537.0,644,2204.079601
-348960.0,630,2228.957675
-350222.0,613,2296.374159
-358473.0,616,2321.648691
-366706.0,612,2345.610445
-346093.0,631,2373.275792
-360960.0,650,2398.800732
-413163.0,611,2423.106148
-323128.0,631,2495.656101
-354995.0,647,2520.407987
-361077.0,624,2546.052924
-325566.0,620,2568.888495
-376460.0,619,2593.900445
-408541.0,616,2619.073045
-376435.0,635,2691.755826
-366097.0,629,2717.105696
-332800.0,605,2742.477997
-392911.0,618,2767.689002
-419823.0,616,2790.799306
-408939.0,609,2815.510294
-319953.0,641,2889.075055
-360205.0,634,2915.119878
-396541.0,619,2940.560869
-361240.0,606,2965.620519
-376977.0,620,2989.294063
-358344.0,637,3015.517644
-365482.0,639,3089.675178
-366533.0,619,3116.370005
-392054.0,608,3142.160873
-310915.0,619,3169.580282
-329624.0,613,3198.288725
-397190.0,616,3223.312159
-440248.0,604,3296.061735
-337612.0,640,3322.061311
-372672.0,606,3349.025191
-385667.0,622,3377.045118
-440923.0,672,3404.075813
-398012.0,612,3430.520978
-333568.0,624,3511.34344
-404817.0,624,3542.203356
-389375.0,625,3569.176889
-341152.0,662,3598.356384
-402125.0,651,3627.577809
-389963.0,607,3654.444081
-378670.0,634,3729.781265
-372946.0,607,3757.721967
-348392.0,643,3784.68982
-379423.0,637,3812.828446
-351520.0,624,3839.474048
-375058.0,634,3866.296636
